NIP;IBAN;Name;Surname
11188246B;ES96 0069 2829 1354 6820 0738;Elsa;Navas Rosales
66213438A;ES38 0069 3763 1870 8584 4886;Paul;Borrás Narváez
72558462V;ES27 0069 9428 3115 3864 5491;Roger;Nieves Colorado
14530768N;ES63 0069 9329 4147 0045 8878;Roberto;Carrero Díaz
44371258A;ES88 0069 7216 6589 6597 1644;Avelino;Neira Sánchez
97859247C;ES52 0069 9129 7614 0018 4854;María Salud;Rial Benítez
88166814V;ES47 0069 6744 5835 5017 9999;Ruth;Alfaro Salas
57565135E;ES02 0069 9128 2729 7298 9079;Emilio;Perea Delgado
75826724W;ES93 0069 8467 6917 9038 0465;Khadija;Ramiro
65441083B;ES42 0069 4444 0863 1125 5681;María Encarnación;Sánchez Soto
29482044T;ES15 0069 9357 7800 1494 2339;Blanca;Galera Morales
54782705V;ES36 0069 4351 0939 4279 9168;Francisco Antonio;Luengo Pérez
05242512F;ES93 0069 8226 5174 7024 1104;Davinia;Caparros López
52296149Z;ES67 0069 5062 3604 8776 8886;Esmeralda;Núñez Saldaña
06367309N;ES56 0069 0304 0937 7245 5952;Carla;Patiño Gutierrez
71072401D;ES19 0069 2040 4826 1038 0754;Pablo;Ledesma Mirón
57728805R;ES88 0069 3224 7738 5785 7522;Juan Vicente;Uriarte Cederas
31220476T;ES43 0069 0627 1680 8327 2856;Carlos Antonio;Casals Lobato
19923137P;ES89 0069 8346 3534 3749 5589;Antoni;Esteban Pacheco
28851130E;ES45 0069 5392 6947 6928 4314;Elia;Echeverria Gómez
36604823R;ES25 0069 1541 5994 6098 5340;Ivan;Godoy Oro
18321063E;ES25 0069 1541 5994 6098 5340;Vasile;Dieguez Sánchez
70544728W;ES92 0069 8635 2861 7112 2430;Mercedes;Robles Belmonte
84614601Q;ES43 0069 0675 7960 5282 0786;Gracia;Paniagua Cereceda
47007049V;ES85 0069 6135 0936 9704 4073;Victoria;Vives Robles
03047450L;ES71 0069 0687 3352 6876 4243;Sandra María;Cobos Romero
92162592M;ES62 0069 9476 0703 3747 7311;Adam;Cerezo Iglesias
72564057T;ES94 0069 6050 9125 4275 5395;Gema;Álvarez Marqués
61363003S;ES14 0069 1137 0656 7857 1226;Carla;Talavera Velasco
79429923K;ES13 0069 9935 5919 8204 9186;Maria Antonieta;Robles Pastel
29555250C;ES55 0069 6886 7883 8004 7476;Minerva;Lin
77195862L;ES28 0069 6991 5190 7722 2999;José Andrés;Soto Perales
31428001L;ES33 0069 6981 8220 2164 9373;Cecilia;Hernandez Pereira
38724195S;ES73 0069 9670 0855 3285 6331;Santiago;Matos Lobos
02573909W;ES22 0069 1870 3125 1671 5387;Iván;Baeza Muñoz
78301914R;ES06 0069 0580 8151 5818 0942;Soraya;Contreras Sarnelas
19883155T;ES16 0069 6152 1223 2042 0900;Maria Sagrario;Arellano Cantoblanco
52951401L;ES04 0069 3320 2713 6305 6066;Isabel María;Jaen Cotero
43440507Q;ES51 0069 9750 1104 0293 0756;María Salud;Uriarte del Soto
34185787J;ES11 0069 1694 9311 7012 7674;Hassan;Del Valle
18152381E;ES97 0069 3968 1193 9353 9383;Karim;Adan
94408721T;ES80 0069 0868 0197 8086 1270;Jose David;Riquelme Requejo
77508832M;ES72 0069 3417 0161 9616 8901;Ángel Luis;Baena Llanos
04015341R;ES84 0069 1645 7321 4175 0466;Florencia Augusta;Laguna Pérez
76552594S;ES88 0069 4789 3169 0084 9327;Maria Alejandra;Zheng
66485254M;ES36 0069 5138 2812 2933 6468;Lucio;Pina Romero
91090732Z;ES37 0069 2352 1579 1907 8962;Juan Francisco;Melgar Pamplona
97432240P;ES45 0069 9795 1119 2753 0770;Plácido;Castaño López
57849270S;ES17 0069 1068 3315 0997 7638;Jose Miguel;Arnau de Essey
88408899G;ES77 0069 7725 7134 9967 5416;Roser;Prats
